Supply,Return,Vscrew,Vmaglev,Cooling,Temp,Pscrew1,Pscrew2,Pmaglev1,Pmaglev2,Ppump,Total_power
11.715394801857794,14.5,110.0,70.0,1168.0831,22.790163,180.9274775744039,180.9274775744039,42.04818879371028,50.86726904899702,17.02000000000004,505.8304129915152
11.88368708173209,14.5,110.0,68.60638531173105,1170.212,22.785,181.06536031792186,181.06536031792186,42.021076727693405,50.34564676871909,16.629891962170007,504.3871200187662
11.685977041705994,14.5,110.0,51.788427417794495,1169.831,22.780176,186.52666025187872,186.52666025187872,43.27733243145908,46.83544972346275,15.161896944364912,508.6517934917741
11.95510083101816,14.534601702556673,114.564649751704,57.64292811946043,1169.8317,22.776102,186.7716830683754,186.7716830683754,42.95646549318613,47.00885649522665,15.366135103675731,509.6070934361908
11.029372606267241,14.5,110.0,46.9128362722754,1171.5895,22.765263,187.3454009731787,187.3454009731787,43.26111805346703,46.22888768151415,15.85511916377726,511.7461651726704
11.448230046738352,14.5,116.0714109856315,57.1783865597361,1172.5947,22.760353,184.11448939726063,184.11448939726063,42.579326529102865,46.52242090169967,15.512919254323435,503.8694839882941
11.0,14.5,134.46473636830956,45.13598720753875,1172.62,22.75279,189.9007260978176,189.9007260978176,43.13678338613357,47.37489614249584,16.90403287393957,521.0252303460834
11.585074080669088,14.5,111.26346562126605,65.73644911743555,1171.9185,22.743454,179.40216399535745,179.40216399535745,41.44374834914084,48.25149440083478,16.231180287664813,497.19311160368494
11.90857745975015,14.653471695701624,113.54042671069698,61.42445413437864,1170.5889,22.736757,189.72243549617897,189.72243549617897,42.30010956469226,46.397689946009855,15.804490539114397,515.5561421204033
11.2297660373998,14.5,110.0,62.51666368249766,1168.3457,22.738457,179.4956579474752,179.4956579474752,41.5043841065264,47.3905407427501,15.407269198039216,494.10804833834453
